type,params,S1,ST
mouse,alpha,0.48341553603836906,0.9741650247204087
mouse,beta,-0.0009695148460766634,0.1193183294900021
mouse,delta,0.0024184703338625277,0.28995155237450604
mouse,gamma,0.016993508922635205,0.33977900312927123
mouse,e,0.00027359550290727644,0.0015670258829392019
mouse,f,-0.0011430140935368737,0.04061165155821878
mouse,h,-0.0030995524283018196,0.03225467230273918
snake,alpha,0.5132635898080731,0.9764842370798414
snake,beta,0.005221243348828858,0.1844925554393222
snake,delta,0.00987949645068994,0.29937820831184025
snake,gamma,0.004536386525380501,0.2939563374974007
snake,e,-8.033417350943739e-05,0.0032258100915627443
snake,f,0.0008396537699265015,0.08579168615388379
snake,h,-0.0034926041596147457,0.06551041244239643
owl,alpha,0.01532471380950459,0.6752470906241163
owl,beta,0.02128845900195661,0.7626458135440176
owl,delta,0.00016330269814957473,0.007383316024416634
owl,gamma,-0.0029110641246807493,0.09190995039499408
owl,e,0.0010623764043709435,0.04518992698801295
owl,f,0.0024080313820194865,0.6716800605558927
owl,h,0.0054026226226635485,0.500192384649364
