,alpha,beta,delta,gamma
0,0.15878167605540078,0.15747394048828914,0.15676080374551585,0.15599459073843985
1,1.1870152206255848e-11,6.5782808560262695e-12,6.04635208250053e-12,2.243374123813142e-11
2,1.3742576436048593e-10,1.2037951824294997e-10,1.014322489189916e-09,7.901361947160623e-10
3,8.009649269812885e-09,7.693071150173548e-09,9.093884712652374e-09,8.646636168969952e-09
4,7.073350643560244e-10,1.9239097470826814e-09,9.579108759160168e-10,2.7448856815847852e-09
5,1.1621545462028555e-11,2.4474015726424765e-11,1.2639489783594204e-11,3.1435321059039496e-11
6,8.017730364482361e-09,1.829185926486434e-09,1.1736998462877236e-09,4.1042502519454757e-10
7,1.4246779730788152e-13,1.429843242670878e-18,3.245452411558555e-12,1.1998700298041626e-12
8,2.1425790718047266e-19,1.3874209216887865e-19,2.726516283943163e-10,4.056768628291798e-11
9,1.053271800178186e-17,5.8992893412451706e-18,4.2911465227096943e-13,5.323821901427319e-12
10,4.0637315092619304e-17,2.1240791354859478e-17,6.020981818089959e-17,1.9914287680468367e-13
11,0.08397495923389617,0.043848966320707755,0.12352271410833063,0.0018489522035910057
12,0.08779539421940231,0.04315005871890418,0.12602438993385515,0.0012414730939853537
