,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1)",0.3184600882660235,0.12276925939744035,32,0.9460378999999994
1,"(2, 1, 1, 1)",22.587842187057404,0.3607574369544128,56,2.1250092999999994
2,"(1, 1, 2, 1)",9609050233952.326,0.7235347479124876,80,3.1378213000000006
3,"(1, 1, 2, 2)",3050535159924.5317,0.11183579861291712,116,2.8127489000000008
4,"(1, 1, 3, 1)",22.731087790561507,0.10787466666687243,148,2.5083243
5,"(1, 1, 1, 2)",22.537469955072808,0.10795688555990435,172,3.2774743000000015
6,"(2, 1, 2, 1)",22.520271790076595,0.09914406309723374,208,2.8454529000000015
7,"(1, 1, 1, 3)",22.533823875299383,0.09893587331437978,240,2.302680800000001
8,"(1, 2, 1, 1)",22.21264378504775,0.07464694923516874,264,3.3743222999999993
9,"(1, 2, 1, 1)",22.21264378504775,0.07891944836030844,616,3.9123997000000017
