,alpha,beta,delta,gamma
0,0.8053385043273797,0.18679022103146006,0.8445935849948824,0.15366575348513067
1,0.9999727012526363,0.0176772549041642,0.9547728171487698,0.027552882700917138
2,0.1548774308286435,0.3397993991566288,0.843074115090195,0.6611179241530868
3,0.7063580010961688,0.12786043738811184,0.7814284515626793,0.09491855442524968
4,0.7084245725197891,0.1319745970652197,0.7823421176854652,0.0918117508851528
5,0.7049498612727993,0.1326047526129573,0.7801493854242829,0.0924251565988737
6,0.7064121737294509,0.13842195831783832,0.7968924243373998,0.08765594731052676
7,0.70321740554347,0.13913937481080907,0.7948576497595667,0.0886256704054645
8,0.6856643494637883,0.17543672820451836,0.7799383151886536,0.08691866104959937
9,0.6819750264692415,0.17739703780195848,0.7689269966820602,0.08365223413269482
