,alpha,beta,delta,gamma
0,0.1707576647219606,0.1428770846682557,0.2209230380899086,0.14696165794562563
1,4.1689972920195305e-11,3.7992422736897977e-11,6.2312025407109316e-12,4.4215837023693475e-11
2,3.2506324464421457e-10,7.789919630548741e-11,2.7264091782455937e-11,7.649746588369e-10
3,9.713466135283942e-09,3.9754778442562325e-09,4.2443818334638194e-08,9.256297499105893e-09
4,5.859286857336394e-11,1.1945359593248135e-11,6.626248502395668e-11,1.2304121199469444e-10
5,1.4942555768585154e-05,0.0015296439601479948,1.356936889346098e-05,1.3377384162096429e-05
6,7.099113951123486e-10,1.6598389136167863e-09,5.321233338183678e-10,7.611754822902835e-10
7,3.489793528490187e-12,6.678148144735706e-19,5.43173220990158e-12,9.648429028164031e-12
8,4.900607931698833e-12,1.2370471360253888e-18,1.5508748026882356e-12,4.484396901144434e-12
9,1.2827498018976061e-17,9.715766857047198e-19,8.720581624554734e-13,1.5996740579755736e-12
10,8.162469637088596e-17,5.8364215361007135e-18,2.583645785377772e-16,1.3982334768000423e-12
11,0.15235948087603687,0.011436975267093375,0.48157999695742304,0.022563611451554666
12,0.15355253882686998,0.01201512558419564,0.4784294761077155,0.022516763226319153
