,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1)",5.528597579740335e-10,0.42087468215107504,32,1.5113085999999996
1,"(1, 1, 2, 1)",7.870425912479592,1.4920323479880513,56,3.1646813
2,"(1, 2, 1, 1)",4150301360894.5366,1.2472391517435437,80,4.168887700000001
3,"(1, 1, 1, 2)",642001713639.0858,1.0734385041064631,104,5.538577700000001
4,"(1, 2, 2, 1)",216816474499.30344,1.1887369434846347,140,7.4277432999999995
5,"(2, 1, 1, 1)",814062665681.4435,1.6095562406834727,164,8.312942
6,"(1, 2, 2, 2)",279708867236.6363,1.1293177890547643,218,11.1009271
7,"(2, 2, 2, 2)",73571390178.74406,0.10248074242974953,299,10.294233499999997
8,"(1, 1, 3, 1)",5.49371492977822,0.06375721103341775,331,12.062085700000004
9,"(3, 1, 1, 1)",2.883056919159634,0.0352210526411903,363,13.631017999999997
10,"(3, 1, 1, 1)",2.883056919159634,0.028119503048412695,1521,16.132956899999996
