,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1)",8.228413950206459e-09,0.4182956478326206,32,2.536704500000001
1,"(1, 1, 2, 1)",10.27861715092593,1.5581829831853866,56,4.4740252
2,"(1, 1, 2, 2)",17347300032.955997,1.5330215643984932,92,6.338586599999999
3,"(1, 2, 2, 2)",41353312860.3909,1.5442905519695491,146,11.555603599999998
4,"(2, 1, 1, 1)",74108393545.84985,1.4330588753072688,170,11.503558499999997
5,"(2, 2, 1, 1)",18324339798.443832,1.0845688385286263,206,13.699580300000001
6,"(2, 2, 2, 2)",16665498783.308683,0.9056961753400357,287,18.760708
7,"(1, 3, 2, 2)",1302277088.204606,0.8640646220513768,359,22.52422340000001
8,"(2, 2, 1, 2)",1882088740.092616,0.4982102429896017,413,24.574024899999998
9,"(3, 2, 1, 1)",1221217112.1586044,0.45872007310452567,461,28.209431499999994
10,"(2, 2, 3, 2)",1393064184.376885,1.6832862408151015,569,27.27955369999998
11,"(1, 3, 2, 3)",613780290.3856577,0.015265237530857812,665,111.38954670000001
12,"(1, 3, 2, 3)",613780290.3856577,0.01899255485456373,2419,116.38413349999999
