,alpha,beta,delta,gamma
0,0.3722183044271313,0.2679341547907346,0.4862227001628115,0.26465846618194117
1,0.9999999995742871,0.9999999996115362,0.9999999996382868,0.9999999995889217
2,0.954156199746453,0.9923618675650755,0.9999999964767429,0.9999999978795713
3,0.968826135737929,0.9999856315828115,0.9989677325510083,0.9998482196755775
4,0.6376023813489674,0.9999276498516932,0.6251961407551161,0.9999917871257271
5,0.8013603202589666,0.9993823599600403,0.7774356079190176,0.28001249598951017
6,0.5068298717808752,0.5921331356916392,0.39663499587942574,0.6297361614593314
7,0.42391014380528896,0.5761167212927529,0.8451664873089895,0.7179755032971138
8,0.6984786758110146,0.022377568000719963,0.8367477787846339,0.44239597739269565
9,0.8128507525305736,0.11495989301478617,0.9393074989131147,0.13288185553905416
10,0.015345840524151439,0.9685508567987378,0.01610330267571269,0.9999999999999993
11,0.4420254623480704,0.11831876394492674,0.7855411544273517,0.09805860103255444
12,0.4463858571652649,0.11900574768066656,0.7846084751051536,0.09901823942778816
