,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1)",33.05030935450111,,32,3.742058800000052
1,"(1, 1, 1, 2)",33.01743523458237,,56,4.2927996000000235
2,"(1, 1, 1, 3)",33.00865612253254,,88,4.770790599999998
3,"(1, 1, 1, 4)",33.00422579259544,,128,4.628089999999986
4,"(1, 2, 1, 1)",32.780278583296194,,152,4.704458200000033
5,"(1, 2, 1, 2)",32.751046618296755,0.2738131176735019,188,7.464743300000009
6,"(1, 1, 2, 3)",2101833485862925.2,1.0791768125535777,236,6.351153099999976
7,"(2, 1, 1, 1)",1155206899212142.2,0.11201432284456433,260,8.122887100000014
8,"(1, 2, 2, 2)",9.39836182853591,0.10252465326106112,314,4.492829599999993
9,"(3, 1, 1, 1)",9.175606770633477,0.10181853574414862,346,5.05699340000001
10,"(4, 1, 1, 1)",9.502239010838819,0.10213557362174037,386,5.535911800000008
11,"(1, 3, 1, 2)",7.343656074643622,0.10218063712824706,434,3.8085571999999956
