,alpha,beta,delta,gamma
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,0.0034027454108466492,8.367652875807211e-30,0.011144135826642624,6.460994121672199e-30
6,3.2728974748855137e-28,3.0962976558694446e-28,0.9783178126856137,3.561723075482721e-28
7,2.532829016212189e-25,4.776857072078077e-25,3.3353210816024253e-25,2.2876488271851008e-25
8,1.7046709953772275e-24,1.0966533047397126e-24,1.6210153181605896e-24,1.0909228168529431e-24
9,0.2727452150767839,0.16982705105063325,0.3218256782005891,0.1734396501956826
10,0.2938818295309804,0.10233122606210387,0.3467632343946314,0.1868929747790737
11,0.2729373879131134,0.16631228184914945,0.32205004779469915,0.17357418554521697
12,0.19685666240169541,0.1824379075436742,0.353229524144887,0.1903598695932024
13,0.2732477362355487,0.16515736725684593,0.31977449334445157,0.17232942634396195
14,0.29691534599932595,0.17933867711535603,0.258958829272327,0.18714363075425744
