,alpha,beta,delta,gamma
0,0.15204422637182305,0.47557369068778454,0.036509236790578256,0.3816603930173276
1,0.25626537297833024,0.019989225185102745,0.04785660602877164,0.7005954651530527
2,0.9871515752520928,4.1547970378630487e-26,0.022939854967591943,1.8631091003672292e-28
3,3.790816346920678e-27,5.459276644569443e-26,1.0,2.2596735917759364e-26
4,0.15147194222194807,0.4455447023947597,0.39155500680112476,0.45444582622218166
5,0.23507637188599387,0.24369914165363563,0.5687228519675325,0.2503373456893094
6,0.24780085385292386,0.22221036537869934,0.4619015106166897,0.41315403407846263
7,0.14396666658272816,0.3752638017124176,0.5706040003723871,0.3609847580766498
8,0.15205849707213284,0.448501901205256,0.5170119551271297,0.19858033788384843
9,0.0008810486106528819,0.024089548575021474,0.9767829839128325,0.823919733036272
10,0.1254276626938752,0.8370870682596855,0.22113572275882026,0.20838171464877833
11,0.002170445709651021,0.09726407561748264,0.0012194677678476788,1.0000000000000002
12,0.03703466570451139,0.036529222653458975,0.20146755976346606,1.0000000000000002
13,0.01575095527896484,0.036215948068717106,0.03290923102037225,0.9999999999999999
14,0.3566068575604887,0.24357929676118137,0.8896096663301639,0.12024423025448057
15,0.8101492563278968,0.060937687152332894,0.20693984508839533,0.062023006207911485
16,0.7654504636929313,0.07219407624353949,0.2532578957685954,0.08879838065080667
