,alpha,beta,delta,gamma,e,f,h
0,0.9900990099009916,0.009900990099008319,1.1967230624887631e-23,2.234151910066777e-23,8.815648697744728e-24,1.5725270159611144e-23,3.611669525694811e-23
1,0.9951148905373622,0.004885109462637777,5.404858921142073e-24,1.0646536355500797e-23,4.316716884862744e-24,7.22674217951861e-24,1.751972111415219e-23
2,0.9900990099009896,0.009900990099010295,5.345013679163516e-24,1.042992126900089e-23,4.3470873027546536e-24,7.258491959068645e-24,1.756013106527434e-23
3,0.9900990099009901,0.009900990099010002,4.585663861478683e-24,9.289083362060673e-24,4.202854078332314e-24,6.3553983703219636e-24,3.311014508966838e-24
4,0.9900990099009901,0.009900990099009898,3.6436646271314235e-24,8.795108107427527e-25,2.6184853844188093e-24,3.71990310516028e-24,2.0267953232761145e-24
5,0.9900990099009899,0.009900990099010052,3.6400030037232064e-24,6.235060337071115e-25,1.537949986955897e-24,1.4954883157567424e-25,1.106380319012533e-24
6,0.9900990099009902,0.009900990099009804,2.604769130582061e-26,2.385823256174866e-26,8.906434698738624e-25,1.0986786709259817e-26,2.068538560788935e-25
7,0.9900990099009901,0.009900990099009912,1.1960711662200049e-29,1.3617414678248078e-29,1.3271048487968963e-29,4.089786297984718e-29,7.68936578277503e-28
8,0.9900990099009901,0.009900990099009844,5.136459468563758e-29,4.8766919550782057e-29,4.623554066163129e-29,9.215683688960554e-29,6.510846217984655e-28
9,0.9900990099009901,0.009900990099009932,3.0786545896263897e-29,6.969635722327973e-30,1.0843299768059323e-29,4.4104670389454105e-29,1.042562701351564e-28
10,0.9900990099009902,0.009900990099009827,1.4746938225947961e-28,6.204009748378073e-29,3.1269095688781796e-29,1.2972299174833012e-28,5.546225217274111e-29
11,0.9900990099009902,0.009900990099009807,1.1482973933915577e-29,1.910113342384495e-29,8.91887344035917e-30,8.937778998705798e-29,5.31622783300021e-28
12,0.9900990099009901,0.00990099009900995,6.770720557373602e-30,1.253217797626792e-29,1.93673192442529e-29,1.549952952174815e-29,7.896313268045614e-28
13,0.9900990099009902,0.009900990099009795,1.1426922650150882e-28,2.2599063325615973e-28,2.1157964456932907e-28,3.057340812419541e-28,1.3457899417194717e-27
14,0.99009900990099,0.009900990099010028,5.891027368219098e-29,3.7918452672972233e-28,1.023404056288304e-28,8.043867908979363e-29,2.9959781310813497e-27
15,0.9900990099009902,0.00990099009900981,1.3481377409627712e-28,3.7809118492151583e-28,2.241988117629841e-28,1.363301179558867e-28,2.775797436255524e-27
16,0.9900990099009902,0.009900990099009757,8.504131994293163e-29,7.001822666328335e-29,7.367364944344161e-29,6.083358556947202e-29,2.4298539816148502e-27
17,0.9900990099009902,0.009900990099009879,3.941910605986096e-30,5.506971258660849e-30,9.930489147535792e-30,1.0687758352415084e-29,6.043353195236887e-28
18,0.9900990099009875,0.009900990099012397,1.9645278154277646e-28,1.4943727757491461e-28,1.5701317501946706e-28,4.554500469730011e-28,6.150858599103891e-28
19,0.9900990099009898,0.009900990099010265,1.3636187698379268e-29,1.8194823531704357e-29,9.77063135430504e-30,1.1891791248438213e-29,6.637987613980992e-28
20,0.9900990099009901,0.009900990099009858,7.243562792703166e-28,2.6558712855188532e-27,1.1159600352479002e-27,1.1214388250401837e-27,1.9799534505963825e-27
21,0.99009900990099,0.009900990099010026,1.2231356421082302e-30,1.110366180232582e-29,3.915243216245412e-30,8.594162466439363e-30,5.252619974314418e-29
22,0.9900990099009902,0.009900990099009731,1.961155641434961e-27,2.1062884283105443e-26,1.345327913575559e-27,2.0125433354337835e-27,3.152939116355811e-27
23,0.9900990099009902,0.009900990099009752,7.833586338082412e-30,5.733838036879987e-30,4.964472537753759e-30,1.898807123771741e-29,1.0202454023236906e-27
24,0.9900990099009901,0.00990099009900986,2.1204536353689292e-30,7.886493857593656e-30,2.3852180876727237e-29,3.325200344564789e-30,2.162451592311938e-29
25,0.9900990099009901,0.009900990099009912,6.461572639714167e-30,9.104376743070712e-30,2.8854434413554464e-30,1.1374456458835207e-29,1.7700236458049757e-28
26,0.990099009900988,0.009900990099012087,9.82451611092941e-28,7.99674342273049e-28,1.679342505091336e-27,1.220337272555001e-27,1.5046953936336296e-27
27,0.9900990099009895,0.009900990099010389,3.2337570534900537e-28,3.2896984129507953e-28,8.46857500434228e-28,3.5141705816985883e-28,2.769334625954207e-28
28,0.9900990099009961,0.009900990099003984,1.505427129277287e-28,2.102468414340871e-28,7.016746140316462e-29,1.2932214198561293e-28,3.7412854030646957e-28
29,0.99009900990099,0.009900990099010002,5.3125305729217354e-30,3.357189767373801e-30,2.1564885511561567e-30,7.238289466953229e-30,6.449383667749612e-28
30,0.9900990099009906,0.00990099009900936,1.3851001141543884e-28,1.5455752828057007e-28,1.6610461580947847e-27,1.280908623340224e-28,4.086272045065293e-28
31,0.9900990099009905,0.009900990099009407,9.850497907816056e-29,1.3851274542222302e-28,2.627468012927403e-28,1.061529907585216e-28,1.1284828796028005e-27
32,0.9900990099009904,0.009900990099009603,5.763959008603059e-29,7.175395165780866e-29,4.1270956595351457e-29,5.4170492826989e-29,4.9337573095813626e-29
33,0.9900990099009896,0.0099009900990104,1.811795841353497e-29,6.404174088301482e-29,1.4421164696950326e-29,2.2445872265918638e-29,2.5428761770661843e-27
34,0.990099009900987,0.009900990099012923,1.9890437022672966e-28,1.2358431355631726e-27,5.447175383835279e-29,1.4199160085598024e-28,4.626975164017465e-28
35,0.9900990099009901,0.009900990099009811,9.247128695984969e-30,6.915102782254935e-30,1.7733031634775763e-29,1.8520285940864967e-29,6.876367726366562e-28
