,chosen_index,local_error,global_error,no_nodes,run_time
0,"(0, 0, 0, 0, 0, 0, 0)",7.673861546209082e-13,0.794889666443425,2,0.8829165999999979
1,"(0, 0, 0, 0, 0, 1, 0)",6.942073507010612,0.8266897723662828,4,1.369396100000003
2,"(1, 0, 0, 0, 0, 0, 0)",6.9797738915397325,0.8816221704221922,6,1.7254227000000029
3,"(1, 0, 0, 0, 1, 0, 0)",8.183183183183736,0.8605945590559632,10,2.9016020000000005
4,"(0, 0, 0, 1, 0, 0, 0)",9.888013013014444,0.8340260578189653,12,3.314381000000001
5,"(0, 0, 0, 0, 0, 1, 1)",12.490121700647745,0.9128391326362891,16,4.674721100000003
6,"(0, 0, 1, 1, 0, 0, 0)",16.950879450878762,0.8294925724097348,20,6.285414899999999
7,"(0, 1, 0, 0, 0, 0, 0)",26.36803470136767,0.7716288322401287,22,7.478551400000001
8,"(0, 0, 1, 1, 0, 1, 0)",2.094256812172487,0.71916429336602,30,7.901729000000003
9,"(1, 0, 0, 0, 1, 1, 0)",2.998975755027068,0.7447437453856233,38,12.878063800000007
10,"(0, 1, 0, 0, 0, 1, 0)",2.6399474896941975,0.8964185256815896,42,10.596811399999993
11,"(0, 0, 0, 0, 0, 2, 1)",3.1610368743986044,0.8964655792871933,48,14.015339600000004
12,"(1, 0, 0, 0, 1, 1, 1)",0.04760881979972176,0.8964184934289645,64,17.459938100000002
13,"(0, 0, 0, 1, 0, 2, 1)",0.08245235259178448,0.8964375321590182,76,20.5152777
14,"(0, 1, 0, 0, 0, 0, 1)",0.04346845655839182,0.8964297922190267,80,25.168633399999976
15,"(0, 0, 1, 1, 0, 0, 1)",0.05999871467145734,0.8963791751669888,88,20.386748100000005
16,"(0, 0, 0, 0, 0, 1, 2)",0.07184174405421591,0.8962404726684248,94,27.261320299999994
17,"(2, 0, 0, 0, 1, 1, 1)",1.5918821816285345e-11,0.8962360832886921,118,30.41510819999999
18,"(1, 0, 0, 1, 1, 1, 1)",0.010866096745440146,0.8962404726684252,150,53.13282849999999
19,"(1, 0, 1, 0, 0, 0, 0)",1.2279954830773931e-11,0.8962404726684232,154,38.18443499999995
20,"(0, 1, 1, 1, 0, 1, 0)",1.1458389792551316e-11,0.8962404726684249,170,40.19638979999996
21,"(2, 0, 1, 0, 1, 1, 1)",6.6489036498751375e-12,0.8962404726684252,218,53.03901050000002
22,"(1, 1, 0, 1, 1, 1, 1)",5.798694857617193e-12,0.8962404726684251,282,63.39754519999997
23,"(0, 1, 2, 1, 0, 1, 0)",4.659383989746857e-12,0.8962404726684252,306,75.90902980000004
24,"(0, 0, 0, 2, 0, 0, 0)",3.645084234449314e-12,0.8962404726684252,309,72.46905330000004
25,"(1, 1, 0, 1, 2, 1, 1)",3.2323773287619892e-12,0.8962404726684252,405,433.18936469999994
26,"(1, 1, 1, 1, 2, 1, 1)",2.5516625849301513e-12,0.8962404726684252,597,1543.8725316999999
