,alpha,beta,delta,gamma,e,f,h
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.474967810340914e-28,0.0,0.0,0.0,0.0,1.0,0.0
2,1.0230621914500577e-31,0.0,0.0,0.0,0.0,1.0,3.6830238892202075e-32
3,1.0225340230497202e-31,0.0,0.0,0.0,0.0,0.9994837377387713,0.0005162622612286978
4,0.0,0.0,0.0,0.0,8.282525586702743e-32,0.9994837377387713,0.000516262261228684
5,4.090136092198886e-31,0.0,3.8881856226465657e-31,4.0901360921988855e-33,2.556335057624304e-32,0.9994837377387713,0.0005162622612286955
6,1.0225340230497232e-33,0.0,1.5977094110151925e-31,8.631225665656824e-32,7.387808316534251e-32,0.9994837377387713,0.0005162622612287488
7,1.6360544368795547e-32,0.0,5.010416712943636e-32,2.300701551861874e-33,1.4724489931915993e-31,0.9994837377387713,0.0005162622612286783
8,2.556335057624307e-32,0.0,1.0225340230497228e-31,6.390837644060768e-33,3.4996226938876764e-31,0.9994837377387713,0.0005162622612286963
9,4.090136092198897e-33,0.0,8.282525586702766e-32,9.202806207447519e-33,9.228369558023762e-32,0.9994837377387713,0.0005162622612287377
10,4.090136092198881e-33,8.852814230649354e-32,1.0225340230497202e-31,3.681122482978993e-32,3.681122482978993e-32,0.9994837377387713,0.0005162622612286513
11,1.6360544368795547e-32,4.351417750371352e-34,0.0,1.0225340230497217e-31,3.093165419725408e-32,0.9994837377387713,0.0005162622612286725
12,2.004166685177459e-31,4.8220929571726175e-32,1.0225340230497238e-33,4.090136092198895e-33,4.090136092198895e-33,0.9994837377387713,0.0005162622612286851
13,3.3130102346811052e-31,1.8895410206209375e-33,6.544217747518232e-32,7.387808316534255e-32,6.544217747518232e-32,0.9994837377387713,0.0005162622612286706
14,2.0706313966756875e-32,5.176738028590856e-32,1.2526041782359096e-32,2.536523460927717e-31,6.390837644060764e-35,0.9994837377387713,0.0005162622612287061
15,0.0,6.292857110010877e-31,2.5563350576243005e-32,4.1556421780505035e-32,5.751753879654676e-34,0.9994837377387713,0.0005162622612286877
16,4.09013609219889e-33,7.151138248449039e-33,1.0225340230497226e-33,4.3202062473850774e-32,1.25260417823591e-32,0.9994837377387713,0.0005162622612287367
17,1.6360544368795577e-32,9.492640680289486e-35,4.320206247385082e-32,3.3807531137081485e-32,3.8881856226465736e-31,0.9994837377387713,0.0005162622612286908
18,9.202806207447498e-33,2.7031777562230566e-32,4.320206247385076e-32,5.467761031846736e-32,7.732913549313523e-33,0.9994837377387713,0.0005162622612286858
19,1.0225340230497212e-33,3.5948461747841764e-35,2.556335057624303e-32,6.544217747518216e-32,2.556335057624303e-34,0.9994837377387713,0.0005162622612287101
20,1.0225340230497224e-33,1.1713831224743799e-33,9.202806207447501e-33,2.700128904615673e-33,2.3007015518618753e-33,0.9994837377387714,0.0005162622612286335
21,1.0225340230497207e-33,2.9241842455640983e-32,3.6811224829789945e-32,1.252604178235908e-32,1.5977094110151885e-33,0.9994837377387713,0.0005162622612286371
22,1.022534023049725e-31,1.1114315732469924e-32,1.63605443687956e-32,0.0,2.430116014154112e-32,0.9994837377387714,0.0005162622612286291
23,2.955123326613701e-31,8.175031260655991e-32,0.0,1.4379384699136738e-32,6.390837644060772e-33,0.9994837377387713,0.0005162622612286501
24,1.0225340230497205e-33,1.0113806383293095e-31,1.5977094110151883e-31,3.235361557305756e-32,1.1647301606300723e-32,0.9994837377387714,0.0005162622612286137
25,0.0,2.0741070387498824e-31,3.6811224829789966e-32,9.202806207447492e-33,1.636054436879554e-32,0.9994837377387713,0.0005162622612286606
26,1.2372661678901606e-31,3.282715932356206e-32,2.556335057624299e-32,9.202806207447477e-33,1.437938469913668e-32,0.9994837377387713,0.0005162622612287296
27,6.544217747518217e-32,9.829813535485153e-34,8.282525586702743e-32,3.681122482978997e-32,1.2526041782359088e-32,0.9994837377387713,0.000516262261228713
28,1.0225340230497236e-33,2.027717920464204e-32,2.5563350576243087e-32,1.4379384699136738e-32,2.556335057624309e-34,0.9994837377387713,0.0005162622612286356
29,9.20280620744751e-33,1.846352938104432e-33,4.090136092198893e-33,4.090136092198893e-33,4.6589206425203017e-32,0.9994837377387713,0.0005162622612287662
30,2.070631396675693e-32,1.4705323660036243e-33,2.556335057624312e-32,1.4419327434412136e-31,1.1816658803868384e-31,0.9994837377387713,0.0005162622612286784
31,4.0901360921989005e-33,2.7849073602376745e-32,3.0931654197254186e-32,3.994273527537989e-32,1.9571940284936146e-32,0.9994837377387713,0.0005162622612286888
32,1.0225340230497217e-33,1.2977394690970883e-32,3.6811224829789983e-32,4.726663521547339e-31,7.73291354931352e-33,0.9994837377387713,0.0005162622612286783
33,1.472448993191602e-31,4.833070968320959e-34,1.2372661678901655e-31,1.597709411015193e-33,2.1498777834620436e-31,0.9994837377387713,0.0005162622612286646
