,alpha,beta,delta,gamma,e,f,h
0,6.438431428436534e-27,1.6130929240606877e-27,0.9870452352226688,0.00020882940513803727,0.012745935372193153,2.854470600725109e-27,1.1430669075965099e-26
1,6.464208806632233e-27,1.6153195528263221e-27,0.9870452352226684,0.0002088294051380144,0.01274593537219361,2.8727717317162144e-27,1.415692030656986e-26
2,6.840775174407455e-31,1.621738121478687e-27,0.9870452352226687,0.00020882940513799946,0.0127459353721933,2.8695970237568735e-27,4.959691168851355e-30
3,1.5858809988586124e-28,1.615671642205038e-27,0.9870452352226685,0.0002088294051380593,0.012745935372193512,2.876165898202237e-27,3.884461183164015e-28
4,7.87930071249582e-30,1.625024701680787e-27,0.9870452352226686,0.00020882940513803797,0.012745935372193418,3.892974920413949e-30,7.925565476074921e-30
5,5.643202631451092e-30,1.61285853003337e-27,0.9870452352226686,0.00020882940513800865,0.01274593537219338,1.1728152637880635e-29,1.53762577898514e-29
6,2.309448170144116e-29,7.36927512431868e-30,0.9870452352226688,0.0002088294051380335,0.012745935372193278,2.455926152570338e-29,2.557093562913656e-29
7,3.304853819777196e-30,1.3140720524969903e-29,0.9870452352226685,0.00020882940513797154,0.012745935372193484,1.4654196512703922e-29,3.755433741090336e-30
8,5.8154108027096065e-30,8.38699249466802e-30,0.9870452352226686,0.00020882940513797458,0.012745935372193479,5.9921538692587704e-30,1.7635102497975008e-30
9,4.076751397111779e-30,1.1808207892842535e-30,0.9870452352226682,0.00020882940513800653,0.012745935372193878,4.127760867205883e-30,2.6270110361174307e-30
10,3.640552835307233e-28,1.1037156805249266e-28,0.9870452352226686,0.00020882940513805998,0.012745935372193378,4.613854233530396e-28,4.294358069267675e-28
11,3.012476139763396e-29,6.25519970082565e-29,0.9870452352226684,0.0002088294051380261,0.012745935372193588,1.8103655089336624e-30,5.87993913797575e-31
12,1.4340229080194e-29,1.2955770140605706e-29,0.9870452352226688,0.00020882940513797596,0.012745935372193203,3.100133918329227e-29,9.47381906617766e-30
13,5.366659089497317e-31,4.6085446293244946e-30,0.9870452352226685,0.00020882940513800754,0.012745935372193455,3.624915983663359e-31,6.94915945116819e-30
14,1.4837174791876314e-29,9.405877427607788e-30,0.9870452352226683,0.00020882940513798133,0.01274593537219379,9.131136703588806e-30,2.4186820694260603e-29
15,1.1083641621185062e-28,3.928402426728275e-29,0.9870452352226669,0.00020882940513816832,0.012745935372194993,7.549128803831982e-29,1.2336098872304186e-28
16,3.122211985844667e-28,4.149547524271806e-28,0.9870452352226642,0.0002088294051382333,0.012745935372197483,2.1415124124435357e-28,5.495533761017902e-28
17,9.592168784342873e-30,2.430922184316341e-30,0.9870452352226684,0.000208829405137977,0.012745935372193665,7.295249711774265e-30,1.876948790276729e-29
18,1.3025469210227767e-28,1.9437097060410536e-28,0.9870452352226664,0.00020882940513837148,0.012745935372195096,1.2431097827804233e-28,1.4997179381627974e-28
19,3.524691222430733e-29,3.286244867703347e-29,0.987045235222667,0.00020882940513810368,0.012745935372194825,8.891030683727222e-29,2.58591842419681e-29
20,1.3356235430767316e-29,1.367854082348232e-29,0.987045235222668,0.00020882940513809,0.012745935372193921,7.545912475593058e-30,3.7723131254620507e-29
21,6.782455151479243e-29,7.3453733013851e-30,0.9870452352226685,0.00020882940513806522,0.012745935372193372,2.9710322619948846e-29,1.7051647564309134e-29
22,3.486317013288024e-30,1.0520732144023183e-30,0.9870452352226684,0.00020882940513802328,0.012745935372193571,2.6013906369104488e-30,1.5058397371568304e-30
23,5.052204969841906e-30,4.563532301142877e-31,0.9870452352226685,0.00020882940513801447,0.01274593537219343,9.110869027773904e-30,9.088205285992288e-30
24,2.1375664304230976e-29,1.9480529158832462e-30,0.987045235222668,0.00020882940513806218,0.012745935372194052,2.582035508664088e-29,9.132915033886103e-30
25,9.270638307520217e-31,2.094597156560362e-30,0.987045235222668,0.00020882940513801843,0.012745935372194003,5.388228608870424e-30,1.3547152792870586e-30
26,3.54613800200923e-30,6.389307036668399e-31,0.9870452352226686,0.00020882940513801133,0.012745935372193424,1.5405050113134447e-30,9.495547597529613e-30
27,1.069260900517852e-28,4.9332825034839627e-29,0.9870452352226659,0.00020882940513820473,0.012745935372196078,1.0415706062943876e-28,1.7937429844959876e-28
28,1.081960202199882e-30,4.047600923912355e-30,0.9870452352226683,0.0002088294051380143,0.012745935372193649,1.6495452696944457e-29,7.64795454547199e-30
29,1.081960202199882e-30,4.047600923912355e-30,0.9870452352226683,0.0002088294051380143,0.012745935372193649,1.6495452696944457e-29,7.64795454547199e-30
