,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1, 1, 1, 1)",1.8762769116165146e-14,1.244172980124906,256,15.096263
1,"(1, 1, 1, 1, 1, 1, 2)",3.6178467629118433e-13,1.2441729801249057,448,31.5703503
2,"(2, 1, 1, 1, 1, 1, 2)",4.0589753780295723e-13,1.244172980124906,736,55.237789
3,"(1, 1, 1, 1, 2, 1, 1)",2.34035013590983e-13,1.2441729801249057,928,63.02594410000002
4,"(1, 1, 1, 1, 1, 2, 2)",1.839022761234648e-13,1.244172980124906,1216,75.07411650000003
5,"(1, 1, 2, 1, 2, 1, 1)",1.60612264229106e-13,1.244172980124906,1504,82.4361725
6,"(1, 2, 2, 1, 2, 1, 1)",1.4080917501949578e-13,1.244172980124906,1936,83.56711189999999
7,"(2, 1, 1, 2, 1, 1, 2)",7.554450892004954e-14,1.2441729801249057,2368,78.9904242
8,"(1, 2, 1, 1, 1, 1, 2)",1.2863784111990148e-13,1.244172980124906,2656,75.41080130000006
9,"(1, 1, 1, 1, 2, 2, 1)",2.3586071367592216e-14,1.2441729801249055,2944,71.28208589999997
10,"(2, 1, 1, 1, 1, 2, 2)",9.917992353318066e-14,1.244172980124906,3376,67.58906009999998
11,"(2, 1, 1, 1, 2, 1, 2)",1.1039728801902297e-13,1.2441729801249057,3808,62.50722280000002
12,"(1, 2, 2, 2, 2, 1, 1)",3.736928462145712e-14,1.244172980124906,4456,55.54366600000003
13,"(2, 1, 2, 1, 1, 1, 2)",5.3208466439442685e-14,1.2441729801249057,4888,49.794529799999964
14,"(1, 1, 1, 2, 1, 1, 1)",1.7837583262310847e-14,1.2441729801249055,5080,48.13211850000005
15,"(1, 1, 2, 1, 1, 2, 2)",5.2205153780151806e-14,1.244172980124905,5512,43.677058399999964
16,"(2, 2, 1, 1, 1, 1, 2)",5.751777654983959e-14,1.2441729801249037,5944,38.530248099999994
17,"(1, 1, 2, 2, 2, 1, 1)",1.6743807986198656e-13,1.2441729801249057,6376,33.840956499999834
18,"(1, 2, 1, 1, 1, 2, 2)",3.381657094265662e-14,1.2441729801249048,6808,29.130325099999936
19,"(1, 1, 2, 1, 1, 1, 2)",1.0453366567415085e-13,1.244172980124905,7096,26.335735999999997
20,"(1, 1, 2, 1, 1, 1, 1)",5.780561214881648e-14,1.2441729801249055,7288,23.807446700000128
21,"(1, 1, 1, 2, 1, 2, 2)",3.274746728931388e-14,1.2441729801249057,7720,19.244020500000033
22,"(2, 1, 1, 1, 1, 1, 1)",5.739853037312059e-14,1.2441729801249057,7912,17.471656000000166
23,"(1, 1, 1, 1, 1, 2, 1)",1.8133642735544225e-14,1.2441729801249057,8104,15.132043100000146
24,"(1, 1, 1, 1, 2, 1, 2)",2.400548895467283e-14,1.2441729801249055,8392,11.946382299999868
25,"(1, 1, 1, 2, 2, 1, 1)",3.3084646133829665e-14,1.2441729801249055,8680,8.762605899999926
26,"(1, 2, 1, 1, 1, 1, 1)",7.453297238650218e-14,1.244172980124906,8872,6.8287643999999545
27,"(1, 2, 1, 1, 2, 1, 1)",3.668670305816906e-14,1.2441729801249044,9160,3.6175803000000997
28,"(1, 1, 1, 2, 1, 1, 2)",1.3695217799320543e-13,1.2441729801249055,9448,0.45722040000009656
29,"(1, 1, 1, 2, 1, 1, 2)",1.3695217799320543e-13,1.2441729801249055,9448,0.9487237000000732
