,alpha,beta,delta,gamma,e,f,h
0,1.8733089160534953e-23,3.0717683773910058e-24,0.9870452352226701,0.00020882940513783377,0.012745935372192119,1.354616517301583e-23,3.148192181449729e-23
1,9.340856633403517e-24,1.4976813007118844e-24,0.9935981671331257,0.00010319685246016931,0.006298636014414186,6.681717772533497e-24,1.498613644666013e-23
2,9.246374999500033e-24,1.3519876736957514e-24,0.9871501822697535,0.00010252715341621817,0.012747290576830324,6.70685805831663e-24,1.5078878775255608e-23
3,9.384591949840124e-24,3.9715859818152265e-25,0.9870452352226684,0.0002088294051380176,0.01274593537219361,4.338444342497077e-24,1.3272077813994255e-23
4,6.767568397188479e-24,3.5387776308623984e-25,0.9870452352226684,0.00020882940513807535,0.012745935372193448,3.744335687094218e-24,9.316844407006133e-25
5,5.861980047420087e-26,3.1530245716341075e-25,0.9870452352226686,0.00020882940513800973,0.012745935372193332,3.3892533140445654e-24,7.876935770828058e-25
6,1.8380832245602153e-26,3.097276994164831e-25,0.9870452352226682,0.00020882940513803394,0.012745935372193816,9.169169158100183e-27,2.9345889843833427e-27
7,7.131933939368757e-30,9.898673976683738e-30,0.9870452352226686,0.00020882940513800526,0.012745935372193403,4.546938083680996e-29,5.509849353173263e-28
8,9.32280667009949e-30,9.72597911373217e-30,0.9870452352226683,0.0002088294051380031,0.01274593537219361,1.6395624612176353e-29,5.399293619395729e-28
9,2.1665002996829672e-29,1.5141766892538123e-29,0.9870452352226652,0.00020882940513846626,0.012745935372196357,2.917345573957309e-29,5.434898058278687e-27
10,2.6579409557114516e-29,1.291443086117077e-29,0.9870452352226687,0.000208829405137993,0.012745935372193241,4.4210672833678127e-29,1.243537567170698e-27
11,4.90387796161287e-30,2.3192932316729842e-29,0.9870452352226686,0.00020882940513803307,0.012745935372193451,6.050989559966964e-29,1.5604714028671056e-28
12,8.189946947477145e-31,1.664970478564751e-30,0.9870452352226686,0.00020882940513802545,0.012745935372193304,5.092314709403481e-30,6.240840842211614e-30
13,4.485690122978477e-29,5.947017113722403e-29,0.9870452352226685,0.0002088294051380146,0.012745935372193448,7.573729694351695e-29,6.125841117118144e-29
14,4.122346130314621e-28,1.0401047139251053e-28,0.9870452352226673,0.00020882940513804491,0.012745935372194796,1.7524836695481162e-28,3.0442648640583184e-27
