,chosen_index,local_error,global_error,no_nodes,run_time
0,"(1, 1, 1, 1)",33.05030935450111,,32,4.510226800000002
1,"(1, 1, 1, 2)",33.01743523458237,,56,6.4402252
2,"(1, 1, 1, 3)",33.00865612253254,,88,8.176568200000002
3,"(1, 1, 1, 4)",33.00422579259544,,128,9.269636300000002
4,"(1, 1, 1, 5)",33.00146635263158,,176,9.771870700000001
5,"(1, 2, 1, 1)",32.780278583296194,,200,11.206981199999994
6,"(1, 2, 1, 2)",32.751046618296755,0.27381310757599286,236,17.431976000000006
7,"(1, 1, 2, 3)",2101833322291044.0,1.0791768125568002,284,19.024923400000006
8,"(2, 1, 1, 1)",1155206848057761.0,0.11201434996212778,308,19.839891100000003
9,"(2, 1, 2, 3)",10.581609212744318,0.10977872632993292,380,20.2228336
10,"(3, 1, 2, 3)",11.642945096416161,0.11082624059620957,476,22.474993499999982
11,"(4, 1, 2, 3)",11.826547041432146,0.11076072608546636,596,25.734193000000005
12,"(4, 1, 3, 3)",12.099166792343684,0.11250357297986424,756,27.977027800000002
13,"(4, 1, 4, 3)",12.27088187832855,0.11255692767850486,956,33.531147299999986
