,alpha,beta,delta,gamma
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,0.2339158154482859,9.385640044681058e-13,0.7660841845468336,1.6894152080425906e-12
7,1.0,3.244549626442418e-12,-8.111374066106045e-13,8.111374066106045e-13
8,0.38487448610057534,0.054592403359403775,0.7195206775739048,0.06018244952877324
9,0.4144980772882176,0.05894700453922488,0.703226927122929,0.06259422121743068
10,0.4127706874928549,0.058361065272531515,0.7029011368026363,0.062423652926873796
11,0.4125402483493557,0.05820307266335573,0.7031210965421781,0.06249237347085941
12,0.41009355304732864,0.05670955456136698,0.7026076935874439,0.06290014645058321
13,0.4104037172597238,0.05693384748584977,0.7022891811710866,0.06290776841043313
