,names
0,gaussian_mouse_e1_O2
1,gaussian_mouse_e1_O3
2,gaussian_mouse_e1_O4
3,gaussian_mouse_e1_O5
4,gaussian_mouse_e1_O6
5,gaussian_mouse_e1_O7
6,gaussian_mouse_e2_O2
7,gaussian_mouse_e2_O3
8,gaussian_mouse_e2_O4
9,gaussian_mouse_e2_O5
10,gaussian_mouse_e2_O6
11,gaussian_mouse_e2_O7
12,gaussian_mouse_e3_O2
13,gaussian_mouse_e3_O3
14,gaussian_mouse_e3_O4
15,gaussian_mouse_e3_O5
16,gaussian_mouse_e3_O6
17,gaussian_mouse_e4_O2
18,gaussian_mouse_e4_O3
19,gaussian_mouse_e4_O4
20,gaussian_mouse_e4_O5
21,gaussian_mouse_e5_O2
22,gaussian_mouse_e5_O3
23,gaussian_mouse_e5_O4
24,gaussian_mouse_e5_O5
25,gaussian_owl_e1_O1
26,gaussian_owl_e1_O2
27,gaussian_owl_e1_O3
28,gaussian_owl_e1_O4
29,gaussian_owl_e1_O5
30,gaussian_owl_e1_O6
31,gaussian_owl_e2_O2
32,gaussian_owl_e2_O3
33,gaussian_owl_e2_O4
34,gaussian_owl_e2_O5
35,gaussian_owl_e2_O6
36,gaussian_owl_e3_O2
37,gaussian_owl_e3_O3
38,gaussian_owl_e3_O4
39,gaussian_owl_e3_O5
40,gaussian_owl_e3_O6
41,gaussian_owl_e4_O2
42,gaussian_owl_e4_O3
43,gaussian_owl_e4_O4
44,gaussian_owl_e5_O1
45,gaussian_owl_e5_O2
46,gaussian_owl_e5_O3
47,gaussian_owl_e5_O4
48,gaussian_owl_e5_O5
49,sparse_mouse_e1_O2
50,sparse_mouse_e1_O3
51,sparse_mouse_e1_O4
52,sparse_mouse_e1_O5
53,sparse_mouse_e1_O6
54,sparse_mouse_e1_O7
55,sparse_mouse_e2_O2
56,sparse_mouse_e2_O3
57,sparse_mouse_e2_O4
58,sparse_mouse_e2_O5
59,sparse_mouse_e2_O6
60,sparse_mouse_e2_O7
61,sparse_mouse_e3_O2
62,sparse_mouse_e3_O3
63,sparse_mouse_e3_O4
64,sparse_mouse_e3_O5
65,sparse_mouse_e3_O6
66,sparse_mouse_e3_O7
67,sparse_mouse_e4_O2
68,sparse_mouse_e4_O3
69,sparse_mouse_e4_O4
70,sparse_mouse_e4_O5
71,sparse_mouse_e5_O2
72,sparse_mouse_e5_O3
73,sparse_mouse_e5_O4
74,sparse_mouse_e5_O5
75,sparse_owl_e1_O1
76,sparse_owl_e1_O2
77,sparse_owl_e1_O3
78,sparse_owl_e1_O4
79,sparse_owl_e1_O5
80,sparse_owl_e1_O6
81,sparse_owl_e1_O7
82,sparse_owl_e1_O8
83,sparse_owl_e2_O1
84,sparse_owl_e2_O2
85,sparse_owl_e2_O3
86,sparse_owl_e2_O4
87,sparse_owl_e2_O5
88,sparse_owl_e2_O6
89,sparse_owl_e2_O7
90,sparse_owl_e3_O1
91,sparse_owl_e3_O2
92,sparse_owl_e3_O3
93,sparse_owl_e3_O4
94,sparse_owl_e3_O5
95,sparse_owl_e3_O6
96,sparse_owl_e3_O7
97,sparse_owl_e4_O1
98,sparse_owl_e4_O2
99,sparse_owl_e4_O3
100,sparse_owl_e4_O4
101,sparse_owl_e5_O1
